Model 1,Model 2,Model 3,Model 4,Model 5,Model 6,Model 7,Model 8,Model 9,generation
20000,2099,427,2000,400,,,,,0.0105
20000,2100,427,2000,400,,,,,0.01055
20000,2100,427,2000,400,,,,,0.0106
20000,2101,427,2000,400,,,,,0.01065
20000,2101,428,2000,400,,,,,0.0107
20000,2102,428,2000,400,,,,,0.01075
20000,2102,428,2000,400,,,,,0.0108
20000,2102,428,2000,400,,,,,0.01085
20000,2103,428,2000,400,,,,,0.0109
20000,2103,428,2000,400,,,,,0.01095
20000,2104,428,2000,400,,,,,0.011
20000,2104,428,2000,400,,,,,0.01105
20000,2105,429,2000,400,,,,,0.0111
20000,2105,429,2000,400,,,,,0.01115
20000,2106,429,2000,400,,,,,0.0112
20000,2106,429,2000,400,,,,,0.01125
20000,2107,429,2000,400,,,,,0.0113
20000,2107,429,2000,400,,,,,0.01135
20000,2108,429,2000,400,,,,,0.0114
20000,2108,430,2000,400,,,,,0.01145
20000,2109,430,2000,400,,,,,0.0115
20000,2109,430,2000,400,,,,,0.01155
20000,2110,430,2000,400,,,,,0.0116
20000,2110,430,2000,400,,,,,0.01165
20000,2111,430,2000,400,,,,,0.0117
20000,2111,430,2000,400,,,,,0.01175
20000,2112,430,2000,400,,,,,0.0118
20000,2112,431,2000,400,,,,,0.01185
20000,2113,431,2000,400,,,,,0.0119
20000,2113,431,2000,400,,,,,0.01195
20000,2114,431,2000,400,,,,,0.012
20000,2114,431,2000,400,,,,,0.01205
20000,2115,431,2000,400,,,,,0.0121
20000,2115,431,2000,400,,,,,0.01215
20000,2116,432,2000,400,,,,,0.0122
20000,2116,432,2000,400,,,,,0.01225
20000,2117,432,2000,400,,,,,0.0123
20000,2117,432,2000,400,,,,,0.01235
20000,2118,432,2000,400,,,,,0.0124
20000,2118,432,2000,400,,,,,0.01245
20000,2119,432,2000,400,,,,,0.0125
20000,2119,432,2000,400,,,,,0.01255
20000,2119,433,2000,400,,,,,0.0126
20000,2120,433,2000,400,,,,,0.01265
20000,2120,433,2000,400,,,,,0.0127
20000,2121,433,2000,400,,,,,0.01275
20000,2121,433,2000,400,,,,,0.0128
20000,2122,433,2000,400,,,,,0.01285
20000,2122,433,2000,400,,,,,0.0129
20000,2123,434,2000,400,,,,,0.01295
20000,2123,434,2000,400,,,,,0.013
20000,2124,434,2000,400,,,,,0.01305
20000,2124,434,2000,400,,,,,0.0131
20000,2125,434,2000,400,,,,,0.01315
20000,2125,434,2000,400,,,,,0.0132
20000,2126,434,2000,400,,,,,0.01325
20000,2126,434,2000,400,,,,,0.0133
20000,2127,435,2000,400,,,,,0.01335
20000,2127,435,2000,400,,,,,0.0134
20000,2128,435,2000,400,,,,,0.01345
20000,2128,435,2000,400,,,,,0.0135
20000,2129,435,2000,400,,,,,0.01355
20000,2129,435,2000,400,,,,,0.0136
20000,2130,435,2000,400,,,,,0.01365
20000,2130,436,2000,400,,,,,0.0137
20000,2131,436,2000,400,,,,,0.01375
20000,2131,436,2000,400,,,,,0.0138
20000,2132,436,2000,400,,,,,0.01385
20000,2132,436,2000,400,,,,,0.0139
20000,2133,436,2000,400,,,,,0.01395
20000,2133,436,2000,400,,,,,0.014
20000,2134,436,2000,400,,,,,0.01405
20000,2134,437,2000,400,,,,,0.0141
20000,2135,437,2000,400,,,,,0.01415
20000,2135,437,2000,400,,,,,0.0142
20000,2136,437,2000,400,,,,,0.01425
20000,2136,437,2000,400,,,,,0.0143
20000,2137,437,2000,400,,,,,0.01435
20000,2137,437,2000,400,,,,,0.0144
20000,2138,438,2000,400,,,,,0.01445
20000,2138,438,2000,400,,,,,0.0145
20000,2139,438,2000,400,,,,,0.01455
20000,2139,438,2000,400,,,,,0.0146
20000,2140,438,2000,400,,,,,0.01465
20000,2140,438,2000,400,,,,,0.0147
20000,2141,438,2000,400,,,,,0.01475
20000,2141,439,2000,400,,,,,0.0148
20000,2142,439,2000,400,,,,,0.01485
20000,2142,439,2000,400,,,,,0.0149
20000,2143,439,2000,400,,,,,0.01495
20000,2143,439,2000,400,,,,,0.015
20000,2144,439,2000,400,,,,,0.01505
20000,2144,439,2000,400,,,,,0.0151
20000,2145,439,2000,400,,,,,0.01515
20000,2145,440,2000,400,,,,,0.0152
20000,2146,440,2000,400,,,,,0.01525
20000,2146,440,2000,400,,,,,0.0153
20000,2147,440,2000,400,,,,,0.01535
20000,2147,440,2000,400,,,,,0.0154
20000,2147,440,2000,400,,,,,0.01545
20000,2148,440,2000,400,,,,,0.0155
20000,2148,441,2000,400,,,,,0.01555
20000,2149,441,2000,400,,,,,0.0156
20000,2149,441,2000,400,,,,,0.01565
20000,2150,441,2000,400,,,,,0.0157
20000,2150,441,2000,400,,,,,0.01575
20000,2151,441,2000,400,,,,,0.0158
20000,2151,441,2000,400,,,,,0.01585
20000,2152,442,2000,400,,,,,0.0159
20000,2152,442,2000,400,,,,,0.01595
20000,2153,442,2000,400,,,,,0.016
20000,2153,442,2000,400,,,,,0.01605
20000,2154,442,2000,400,,,,,0.0161
20000,2154,442,2000,400,,,,,0.01615
20000,2155,442,2000,400,,,,,0.0162
20000,2155,443,2000,400,,,,,0.01625
20000,2156,443,2000,400,,,,,0.0163
20000,2156,443,2000,400,,,,,0.01635
20000,2157,443,2000,400,,,,,0.0164
20000,2157,443,2000,400,,,,,0.01645
20000,2158,443,2000,400,,,,,0.0165
20000,2158,443,2000,400,,,,,0.01655
20000,2159,443,2000,400,,,,,0.0166
20000,2159,444,2000,400,,,,,0.01665
20000,2160,444,2000,400,,,,,0.0167
20000,2160,444,2000,400,,,,,0.01675
20000,2161,444,2000,400,,,,,0.0168
20000,2161,444,2000,400,,,,,0.01685
20000,2162,444,2000,400,,,,,0.0169
20000,2162,444,2000,400,,,,,0.01695
20000,2163,445,2000,400,,,,,0.017
20000,2163,445,2000,400,,,,,0.01705
20000,2164,445,2000,400,,,,,0.0171
20000,2164,445,2000,400,,,,,0.01715
20000,2165,445,2000,400,,,,,0.0172
20000,2165,445,2000,400,,,,,0.01725
20000,2166,445,2000,400,,,,,0.0173
20000,2166,446,2000,400,,,,,0.01735
20000,2167,446,2000,400,,,,,0.0174
20000,2167,446,2000,400,,,,,0.01745
20000,2168,446,2000,400,,,,,0.0175
20000,2168,446,2000,400,,,,,0.01755
20000,2169,446,2000,400,,,,,0.0176
20000,2169,446,2000,400,,,,,0.01765
20000,2170,447,2000,400,,,,,0.0177
20000,2170,447,2000,400,,,,,0.01775
20000,2171,447,2000,400,,,,,0.0178
20000,2171,447,2000,400,,,,,0.01785
20000,2172,447,2000,400,,,,,0.0179
20000,2172,447,2000,400,,,,,0.01795
20000,2173,447,2000,400,,,,,0.018
20000,2173,447,2000,400,,,,,0.01805
20000,2174,448,2000,400,,,,,0.0181
20000,2174,448,2000,400,,,,,0.01815
20000,2175,448,2000,400,,,,,0.0182
20000,2175,448,2000,400,,,,,0.01825
20000,2176,448,2000,400,,,,,0.0183
20000,2176,448,2000,400,,,,,0.01835
20000,2177,448,2000,400,,,,,0.0184
20000,2177,449,2000,400,,,,,0.01845
20000,2178,449,2000,400,,,,,0.0185
20000,2178,449,2000,400,,,,,0.01855
20000,2179,449,2000,400,,,,,0.0186
20000,2179,449,2000,400,,,,,0.01865
20000,2180,449,2000,400,,,,,0.0187
20000,2180,449,2000,400,,,,,0.01875
20000,2181,450,2000,400,,,,,0.0188
20000,2181,450,2000,400,,,,,0.01885
20000,2182,450,2000,400,,,,,0.0189
20000,2182,450,2000,400,,,,,0.01895
20000,2183,450,2000,400,,,,,0.019
20000,2183,450,2000,400,,,,,0.01905
20000,2184,450,2000,400,,,,,0.0191
20000,2184,451,2000,400,,,,,0.01915
20000,2185,451,2000,400,,,,,0.0192
20000,2185,451,2000,400,,,,,0.01925
20000,2186,451,2000,400,,,,,0.0193
20000,2186,451,2000,400,,,,,0.01935
20000,2187,451,2000,400,,,,,0.0194
20000,2187,451,2000,400,,,,,0.01945
20000,2188,452,2000,400,,,,,0.0195
20000,2188,452,2000,400,,,,,0.01955
20000,2189,452,2000,400,,,,,0.0196
20000,2189,452,2000,400,,,,,0.01965
20000,2190,452,2000,400,,,,,0.0197
20000,2190,452,2000,400,,,,,0.01975
20000,2191,452,2000,400,,,,,0.0198
20000,2191,453,2000,400,,,,,0.01985
20000,2192,453,2000,400,,,,,0.0199
